Country / territory of asylum/residence,Origin,Year,Value,coor_from,coor_to
United States,Somalia,1991,192,"(46.199616, 5.152149)","(-95.712891, 37.09024)"
United States,South Africa,1991,19,"(22.937506, -30.559482)","(-95.712891, 37.09024)"
United States,Sudan,1991,24,"(30.217636, 12.862807)","(-95.712891, 37.09024)"
United States,Syria,1991,1,"(38.996815, 34.802075)","(-95.712891, 37.09024)"
United States,Uganda,1991,125,"(32.290275, 1.373333)","(-95.712891, 37.09024)"
United States,Various/unknown,1991,7,,"(-95.712891, 37.09024)"
United States,Vietnam,1991,44218,"(108.277199, 14.058324)","(-95.712891, 37.09024)"
Australia,Congo [DRC],1992,8,"(21.758664, -4.038333)","(133.775136, -25.274398)"
Australia,Iran,1992,162,"(53.688046, 32.427908)","(133.775136, -25.274398)"
Australia,Laos,1992,53,"(102.495496, 19.85627)","(133.775136, -25.274398)"
Australia,Moldova,1992,37,"(28.369885, 47.411631)","(133.775136, -25.274398)"
Australia,Russia,1992,1080,"(105.318756, 61.52401)","(133.775136, -25.274398)"
Australia,Sao Tome and Principe,1992,4,,"(133.775136, -25.274398)"
Australia,Serbia,1992,1734,"(21.005859, 44.016521)","(133.775136, -25.274398)"
Australia,Syria,1992,4,"(38.996815, 34.802075)","(133.775136, -25.274398)"
Australia,Vietnam,1992,1679,"(108.277199, 14.058324)","(133.775136, -25.274398)"
Canada,Bolivia,1992,15,"(-63.588653, -16.290154)","(-106.346771, 56.130366)"
Canada,Central African Rep.,1992,1,,"(-106.346771, 56.130366)"
Canada,Hong Kong,1992,57,"(114.109497, 22.396428)","(-106.346771, 56.130366)"
Canada,Congo,1992,1,,"(-106.346771, 56.130366)"
Canada,Czech Republic,1992,126,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,North Korea,1992,1,"(127.510093, 40.339852)","(-106.346771, 56.130366)"
Canada,Congo [DRC],1992,29,"(21.758664, -4.038333)","(-106.346771, 56.130366)"
Canada,Dominican Republic,1992,1,"(-70.162651, 18.735693)","(-106.346771, 56.130366)"
Canada,Iran,1992,559,"(53.688046, 32.427908)","(-106.346771, 56.130366)"
Canada,Laos,1992,57,"(102.495496, 19.85627)","(-106.346771, 56.130366)"
Canada,Myanmar [Burma],1992,9,"(95.956223, 21.913965)","(-106.346771, 56.130366)"
Canada,Russia,1992,267,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1992,26,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Syria,1992,11,"(38.996815, 34.802075)","(-106.346771, 56.130366)"
Canada,United Kingdom,1992,5,"(-3.435973, 55.378051)","(-106.346771, 56.130366)"
Canada,Tanzania,1992,5,"(34.888822, -6.369028)","(-106.346771, 56.130366)"
Canada,United States,1992,78,"(-95.712891, 37.09024)","(-106.346771, 56.130366)"
Canada,Various/unknown,1992,176,,"(-106.346771, 56.130366)"
Canada,Venezuela,1992,1,"(-66.58973, 6.42375)","(-106.346771, 56.130366)"
Canada,Vietnam,1992,2243,"(108.277199, 14.058324)","(-106.346771, 56.130366)"
Denmark,Iran,1992,62,"(53.688046, 32.427908)","(9.501785, 56.26392)"
Denmark,Myanmar [Burma],1992,1,"(95.956223, 21.913965)","(9.501785, 56.26392)"
Denmark,Vietnam,1992,258,"(108.277199, 14.058324)","(9.501785, 56.26392)"
Finland,Various/unknown,1992,674,,"(25.748151, 61.92411)"
Japan,Various/unknown,1992,411,,"(138.252924, 36.204824)"
Netherlands,Iran,1992,86,"(53.688046, 32.427908)","(5.291266, 52.132633)"
Netherlands,Various/unknown,1992,51,,"(5.291266, 52.132633)"
Netherlands,Vietnam,1992,273,"(108.277199, 14.058324)","(5.291266, 52.132633)"
New Zealand,Iran,1992,20,"(53.688046, 32.427908)","(174.885971, -40.900557)"
New Zealand,Laos,1992,59,"(102.495496, 19.85627)","(174.885971, -40.900557)"
New Zealand,Myanmar [Burma],1992,1,"(95.956223, 21.913965)","(174.885971, -40.900557)"
New Zealand,Vietnam,1992,146,"(108.277199, 14.058324)","(174.885971, -40.900557)"
Norway,Various/unknown,1992,2037,,"(8.468946, 60.472024)"
Sweden,Iran,1992,612,"(53.688046, 32.427908)","(18.643501, 60.128161)"
Sweden,Laos,1992,10,"(102.495496, 19.85627)","(18.643501, 60.128161)"
Sweden,Myanmar [Burma],1992,1,"(95.956223, 21.913965)","(18.643501, 60.128161)"
Sweden,Stateless,1992,7,,"(18.643501, 60.128161)"
Sweden,Syria,1992,1,"(38.996815, 34.802075)","(18.643501, 60.128161)"
Sweden,Vietnam,1992,474,"(108.277199, 14.058324)","(18.643501, 60.128161)"
United Kingdom,Various/unknown,1992,620,,"(-3.435973, 55.378051)"
United States,Afghanistan,1992,1452,"(67.709953, 33.93911)","(-95.712891, 37.09024)"
United States,Albania,1992,1108,"(20.168331, 41.153332)","(-95.712891, 37.09024)"
United States,Angola,1992,4,"(17.873887, -11.202692)","(-95.712891, 37.09024)"
United States,Bulgaria,1992,126,"(25.48583, 42.733883)","(-95.712891, 37.09024)"
United States,China,1992,1,"(104.195397, 35.86166)","(-95.712891, 37.09024)"
United States,Cuba,1992,3749,"(-77.781167, 21.521757)","(-95.712891, 37.09024)"
United States,Czech Republic,1992,18,"(15.472962, 49.817492)","(-95.712891, 37.09024)"
United States,Congo [DRC],1992,76,"(21.758664, -4.038333)","(-95.712891, 37.09024)"
United States,El Salvador,1992,2,"(-88.89653, 13.794185)","(-95.712891, 37.09024)"
United States,Ethiopia,1992,2972,"(40.489673, 9.145)","(-95.712891, 37.09024)"
United States,Haiti,1992,54,"(-72.285215, 18.971187)","(-95.712891, 37.09024)"
United States,Hungary,1992,1,"(19.503304, 47.162494)","(-95.712891, 37.09024)"
United States,Iran,1992,1949,"(53.688046, 32.427908)","(-95.712891, 37.09024)"
United States,Iraq,1992,3442,"(43.679291, 33.223191)","(-95.712891, 37.09024)"
United States,Laos,1992,7315,"(102.495496, 19.85627)","(-95.712891, 37.09024)"
United States,Liberia,1992,637,"(-9.429499, 6.428055)","(-95.712891, 37.09024)"
United States,Libya,1992,1,"(17.228331, 26.3351)","(-95.712891, 37.09024)"
United States,Mozambique,1992,8,"(35.529562, -18.665695)","(-95.712891, 37.09024)"
United States,Myanmar [Burma],1992,55,"(95.956223, 21.913965)","(-95.712891, 37.09024)"
United States,Nicaragua,1992,1,"(-85.207229, 12.865416)","(-95.712891, 37.09024)"
United States,Poland,1992,134,"(19.145136, 51.919438)","(-95.712891, 37.09024)"
United States,Romania,1992,1499,"(24.96676, 45.943161)","(-95.712891, 37.09024)"
United States,Russia,1992,61298,"(105.318756, 61.52401)","(-95.712891, 37.09024)"
United States,Rwanda,1992,3,"(29.873888, -1.940278)","(-95.712891, 37.09024)"
United States,Somalia,1992,1570,"(46.199616, 5.152149)","(-95.712891, 37.09024)"
United States,South Africa,1992,15,"(22.937506, -30.559482)","(-95.712891, 37.09024)"
United States,Sudan,1992,113,"(30.217636, 12.862807)","(-95.712891, 37.09024)"
United States,Uganda,1992,93,"(32.290275, 1.373333)","(-95.712891, 37.09024)"
United States,Vietnam,1992,44336,"(108.277199, 14.058324)","(-95.712891, 37.09024)"
Australia,Czech Republic,1993,2,"(15.472962, 49.817492)","(133.775136, -25.274398)"
Australia,Congo [DRC],1993,6,"(21.758664, -4.038333)","(133.775136, -25.274398)"
Australia,Iran,1993,90,"(53.688046, 32.427908)","(133.775136, -25.274398)"
Australia,Laos,1993,66,"(102.495496, 19.85627)","(133.775136, -25.274398)"
Australia,Myanmar [Burma],1993,181,"(95.956223, 21.913965)","(133.775136, -25.274398)"
Australia,Palestinian Territories,1993,14,"(35.233154, 31.952162)","(133.775136, -25.274398)"
Australia,Moldova,1993,20,"(28.369885, 47.411631)","(133.775136, -25.274398)"
Australia,Russia,1993,550,"(105.318756, 61.52401)","(133.775136, -25.274398)"
Australia,Serbia,1993,3690,"(21.005859, 44.016521)","(133.775136, -25.274398)"
Australia,Stateless,1993,8,,"(133.775136, -25.274398)"
Australia,Syria,1993,6,"(38.996815, 34.802075)","(133.775136, -25.274398)"
Australia,Various/unknown,1993,25,,"(133.775136, -25.274398)"
Australia,Vietnam,1993,2578,"(108.277199, 14.058324)","(133.775136, -25.274398)"
Canada,Bolivia,1993,1,"(-63.588653, -16.290154)","(-106.346771, 56.130366)"
Canada,Central African Rep.,1993,2,,"(-106.346771, 56.130366)"
Canada,Hong Kong,1993,10,"(114.109497, 22.396428)","(-106.346771, 56.130366)"
Canada,Czech Republic,1993,12,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,Congo [DRC],1993,40,"(21.758664, -4.038333)","(-106.346771, 56.130366)"
Canada,Iran,1993,378,"(53.688046, 32.427908)","(-106.346771, 56.130366)"
Canada,Laos,1993,3,"(102.495496, 19.85627)","(-106.346771, 56.130366)"
Canada,Myanmar [Burma],1993,33,"(95.956223, 21.913965)","(-106.346771, 56.130366)"
Canada,Russia,1993,24,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1993,90,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Syria,1993,12,"(38.996815, 34.802075)","(-106.346771, 56.130366)"
Canada,United Kingdom,1993,6,"(-3.435973, 55.378051)","(-106.346771, 56.130366)"
Canada,Tanzania,1993,3,"(34.888822, -6.369028)","(-106.346771, 56.130366)"
Canada,United States,1993,33,"(-95.712891, 37.09024)","(-106.346771, 56.130366)"
Canada,Various/unknown,1993,100,,"(-106.346771, 56.130366)"
Canada,Vietnam,1993,2001,"(108.277199, 14.058324)","(-106.346771, 56.130366)"
Denmark,Congo [DRC],1993,1,"(21.758664, -4.038333)","(9.501785, 56.26392)"
Denmark,Iran,1993,107,"(53.688046, 32.427908)","(9.501785, 56.26392)"
Denmark,Palestinian Territories,1993,8,"(35.233154, 31.952162)","(9.501785, 56.26392)"
Denmark,Syria,1993,2,"(38.996815, 34.802075)","(9.501785, 56.26392)"
Denmark,Vietnam,1993,34,"(108.277199, 14.058324)","(9.501785, 56.26392)"
Finland,Various/unknown,1993,585,,"(25.748151, 61.92411)"
Japan,Various/unknown,1993,300,,"(138.252924, 36.204824)"
Netherlands,Congo [DRC],1993,4,"(21.758664, -4.038333)","(5.291266, 52.132633)"
Netherlands,Iran,1993,2,"(53.688046, 32.427908)","(5.291266, 52.132633)"
Netherlands,Vietnam,1993,133,"(108.277199, 14.058324)","(5.291266, 52.132633)"
New Zealand,Iran,1993,2,"(53.688046, 32.427908)","(174.885971, -40.900557)"
New Zealand,Myanmar [Burma],1993,1,"(95.956223, 21.913965)","(174.885971, -40.900557)"
New Zealand,Vietnam,1993,219,"(108.277199, 14.058324)","(174.885971, -40.900557)"
Norway,Iran,1993,185,"(53.688046, 32.427908)","(8.468946, 60.472024)"
Norway,Various/unknown,1993,4,,"(8.468946, 60.472024)"
Norway,Vietnam,1993,76,"(108.277199, 14.058324)","(8.468946, 60.472024)"
Sweden,Iran,1993,189,"(53.688046, 32.427908)","(18.643501, 60.128161)"
Sweden,Various/unknown,1993,21,,"(18.643501, 60.128161)"
Sweden,Vietnam,1993,197,"(108.277199, 14.058324)","(18.643501, 60.128161)"
United Kingdom,Various/unknown,1993,510,,"(-3.435973, 55.378051)"
United States,Afghanistan,1993,1233,"(67.709953, 33.93911)","(-95.712891, 37.09024)"
United States,Albania,1993,458,"(20.168331, 41.153332)","(-95.712891, 37.09024)"
United States,Bosnia and Herzegovina,1993,1887,"(17.679076, 43.915886)","(-95.712891, 37.09024)"
United States,Bulgaria,1993,34,"(25.48583, 42.733883)","(-95.712891, 37.09024)"
United States,Burundi,1993,3,"(29.918886, -3.373056)","(-95.712891, 37.09024)"
United States,Cuba,1993,3065,"(-77.781167, 21.521757)","(-95.712891, 37.09024)"
United States,Czech Republic,1993,3,"(15.472962, 49.817492)","(-95.712891, 37.09024)"
United States,Congo [DRC],1993,199,"(21.758664, -4.038333)","(-95.712891, 37.09024)"
United States,El Salvador,1993,1,"(-88.89653, 13.794185)","(-95.712891, 37.09024)"
United States,Ethiopia,1993,2765,"(40.489673, 9.145)","(-95.712891, 37.09024)"
United States,Haiti,1993,1307,"(-72.285215, 18.971187)","(-95.712891, 37.09024)"
United States,Iran,1993,1161,"(53.688046, 32.427908)","(-95.712891, 37.09024)"
United States,Iraq,1993,4605,"(43.679291, 33.223191)","(-95.712891, 37.09024)"
United States,Laos,1993,6967,"(102.495496, 19.85627)","(-95.712891, 37.09024)"
United States,Liberia,1993,961,"(-9.429499, 6.428055)","(-95.712891, 37.09024)"
United States,Myanmar [Burma],1993,94,"(95.956223, 21.913965)","(-95.712891, 37.09024)"
United States,Nicaragua,1993,1,"(-85.207229, 12.865416)","(-95.712891, 37.09024)"
United States,Poland,1993,54,"(19.145136, 51.919438)","(-95.712891, 37.09024)"
United States,Romania,1993,215,"(24.96676, 45.943161)","(-95.712891, 37.09024)"
United States,Russia,1993,48627,"(105.318756, 61.52401)","(-95.712891, 37.09024)"
United States,Rwanda,1993,7,"(29.873888, -1.940278)","(-95.712891, 37.09024)"
United States,Somalia,1993,2753,"(46.199616, 5.152149)","(-95.712891, 37.09024)"
United States,South Africa,1993,8,"(22.937506, -30.559482)","(-95.712891, 37.09024)"
United States,Sudan,1993,244,"(30.217636, 12.862807)","(-95.712891, 37.09024)"
United States,Syria,1993,1,"(38.996815, 34.802075)","(-95.712891, 37.09024)"
United States,Uganda,1993,24,"(32.290275, 1.373333)","(-95.712891, 37.09024)"
United States,Various/unknown,1993,9,,"(-95.712891, 37.09024)"
United States,Vietnam,1993,42797,"(108.277199, 14.058324)","(-95.712891, 37.09024)"
Australia,Iran,1994,279,"(53.688046, 32.427908)","(133.775136, -25.274398)"
Australia,Laos,1994,81,"(102.495496, 19.85627)","(133.775136, -25.274398)"
Australia,Myanmar [Burma],1994,577,"(95.956223, 21.913965)","(133.775136, -25.274398)"
Australia,Russia,1994,1062,"(105.318756, 61.52401)","(133.775136, -25.274398)"
Australia,Serbia,1994,4647,"(21.005859, 44.016521)","(133.775136, -25.274398)"
Australia,Stateless,1994,4,,"(133.775136, -25.274398)"
Australia,Macedonia [FYROM],1994,4,"(21.745275, 41.608635)","(133.775136, -25.274398)"
Australia,Vietnam,1994,2263,"(108.277199, 14.058324)","(133.775136, -25.274398)"
Canada,Hong Kong,1994,22,"(114.109497, 22.396428)","(-106.346771, 56.130366)"
Canada,Congo [DRC],1994,26,"(21.758664, -4.038333)","(-106.346771, 56.130366)"
Canada,Iran,1994,266,"(53.688046, 32.427908)","(-106.346771, 56.130366)"
Canada,Laos,1994,11,"(102.495496, 19.85627)","(-106.346771, 56.130366)"
Canada,Myanmar [Burma],1994,82,"(95.956223, 21.913965)","(-106.346771, 56.130366)"
Canada,Russia,1994,7,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1994,290,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Syria,1994,4,"(38.996815, 34.802075)","(-106.346771, 56.130366)"
Canada,Macedonia [FYROM],1994,6,"(21.745275, 41.608635)","(-106.346771, 56.130366)"
Canada,United Kingdom,1994,9,"(-3.435973, 55.378051)","(-106.346771, 56.130366)"
Canada,Tanzania,1994,2,"(34.888822, -6.369028)","(-106.346771, 56.130366)"
Canada,United States,1994,11,"(-95.712891, 37.09024)","(-106.346771, 56.130366)"
Canada,Various/unknown,1994,33,,"(-106.346771, 56.130366)"
Canada,Venezuela,1994,2,"(-66.58973, 6.42375)","(-106.346771, 56.130366)"
Canada,Vietnam,1994,1212,"(108.277199, 14.058324)","(-106.346771, 56.130366)"
Denmark,Congo [DRC],1994,3,"(21.758664, -4.038333)","(9.501785, 56.26392)"
Denmark,Iran,1994,61,"(53.688046, 32.427908)","(9.501785, 56.26392)"
Denmark,Myanmar [Burma],1994,1,"(95.956223, 21.913965)","(9.501785, 56.26392)"
Denmark,Palestinian Territories,1994,1,"(35.233154, 31.952162)","(9.501785, 56.26392)"
Denmark,Russia,1994,1,"(105.318756, 61.52401)","(9.501785, 56.26392)"
Denmark,Stateless,1994,1,,"(9.501785, 56.26392)"
Denmark,Syria,1994,3,"(38.996815, 34.802075)","(9.501785, 56.26392)"
Denmark,Vietnam,1994,10,"(108.277199, 14.058324)","(9.501785, 56.26392)"
Finland,Various/unknown,1994,651,,"(25.748151, 61.92411)"
Japan,Various/unknown,1994,165,,"(138.252924, 36.204824)"
Netherlands,Iran,1994,21,"(53.688046, 32.427908)","(5.291266, 52.132633)"
New Zealand,Iran,1994,13,"(53.688046, 32.427908)","(174.885971, -40.900557)"
New Zealand,Laos,1994,3,"(102.495496, 19.85627)","(174.885971, -40.900557)"
New Zealand,Myanmar [Burma],1994,2,"(95.956223, 21.913965)","(174.885971, -40.900557)"
New Zealand,Syria,1994,7,"(38.996815, 34.802075)","(174.885971, -40.900557)"
New Zealand,Vietnam,1994,42,"(108.277199, 14.058324)","(174.885971, -40.900557)"
Norway,Syria,1994,1,"(38.996815, 34.802075)","(8.468946, 60.472024)"
Sweden,Iran,1994,248,"(53.688046, 32.427908)","(18.643501, 60.128161)"
Sweden,Myanmar [Burma],1994,5,"(95.956223, 21.913965)","(18.643501, 60.128161)"
Sweden,Serbia,1994,9,"(21.005859, 44.016521)","(18.643501, 60.128161)"
Sweden,Syria,1994,1,"(38.996815, 34.802075)","(18.643501, 60.128161)"
Sweden,Vietnam,1994,32,"(108.277199, 14.058324)","(18.643501, 60.128161)"
United Kingdom,Various/unknown,1994,260,,"(-3.435973, 55.378051)"
United States,Afghanistan,1994,21,"(67.709953, 33.93911)","(-95.712891, 37.09024)"
United States,Albania,1994,171,"(20.168331, 41.153332)","(-95.712891, 37.09024)"
United States,Angola,1994,6,"(17.873887, -11.202692)","(-95.712891, 37.09024)"
United States,Bosnia and Herzegovina,1994,7197,"(17.679076, 43.915886)","(-95.712891, 37.09024)"
United States,Bulgaria,1994,5,"(25.48583, 42.733883)","(-95.712891, 37.09024)"
United States,Cuba,1994,2670,"(-77.781167, 21.521757)","(-95.712891, 37.09024)"
United States,Czech Republic,1994,5,"(15.472962, 49.817492)","(-95.712891, 37.09024)"
United States,Congo [DRC],1994,92,"(21.758664, -4.038333)","(-95.712891, 37.09024)"
United States,Ethiopia,1994,328,"(40.489673, 9.145)","(-95.712891, 37.09024)"
United States,Haiti,1994,3766,"(-72.285215, 18.971187)","(-95.712891, 37.09024)"
United States,Hungary,1994,1,"(19.503304, 47.162494)","(-95.712891, 37.09024)"
United States,Iran,1994,851,"(53.688046, 32.427908)","(-95.712891, 37.09024)"
United States,Iraq,1994,4984,"(43.679291, 33.223191)","(-95.712891, 37.09024)"
United States,Laos,1994,6272,"(102.495496, 19.85627)","(-95.712891, 37.09024)"
United States,Liberia,1994,610,"(-9.429499, 6.428055)","(-95.712891, 37.09024)"
United States,Libya,1994,3,"(17.228331, 26.3351)","(-95.712891, 37.09024)"
United States,Mozambique,1994,1,"(35.529562, -18.665695)","(-95.712891, 37.09024)"
United States,Myanmar [Burma],1994,75,"(95.956223, 21.913965)","(-95.712891, 37.09024)"
United States,Nicaragua,1994,1,"(-85.207229, 12.865416)","(-95.712891, 37.09024)"
United States,Poland,1994,31,"(19.145136, 51.919438)","(-95.712891, 37.09024)"
United States,Romania,1994,67,"(24.96676, 45.943161)","(-95.712891, 37.09024)"
United States,Russia,1994,43470,"(105.318756, 61.52401)","(-95.712891, 37.09024)"
United States,Rwanda,1994,31,"(29.873888, -1.940278)","(-95.712891, 37.09024)"
United States,Somalia,1994,3555,"(46.199616, 5.152149)","(-95.712891, 37.09024)"
United States,Sudan,1994,1220,"(30.217636, 12.862807)","(-95.712891, 37.09024)"
United States,Uganda,1994,2,"(32.290275, 1.373333)","(-95.712891, 37.09024)"
United States,Various/unknown,1994,13,,"(-95.712891, 37.09024)"
United States,Vietnam,1994,37234,"(108.277199, 14.058324)","(-95.712891, 37.09024)"
Australia,Congo [DRC],1995,5,"(21.758664, -4.038333)","(133.775136, -25.274398)"
Australia,Iran,1995,700,"(53.688046, 32.427908)","(133.775136, -25.274398)"
Australia,Laos,1995,88,"(102.495496, 19.85627)","(133.775136, -25.274398)"
Australia,Myanmar [Burma],1995,445,"(95.956223, 21.913965)","(133.775136, -25.274398)"
Australia,Palestinian Territories,1995,5,"(35.233154, 31.952162)","(133.775136, -25.274398)"
Australia,Russia,1995,557,"(105.318756, 61.52401)","(133.775136, -25.274398)"
Australia,Serbia,1995,5078,"(21.005859, 44.016521)","(133.775136, -25.274398)"
Australia,Stateless,1995,3,,"(133.775136, -25.274398)"
Australia,Macedonia [FYROM],1995,2,"(21.745275, 41.608635)","(133.775136, -25.274398)"
Australia,Vietnam,1995,708,"(108.277199, 14.058324)","(133.775136, -25.274398)"
Canada,Central African Rep.,1995,1,,"(-106.346771, 56.130366)"
Canada,Hong Kong,1995,7,"(114.109497, 22.396428)","(-106.346771, 56.130366)"
Canada,Czech Republic,1995,1,"(15.472962, 49.817492)","(-106.346771, 56.130366)"
Canada,Congo [DRC],1995,42,"(21.758664, -4.038333)","(-106.346771, 56.130366)"
Canada,Iran,1995,392,"(53.688046, 32.427908)","(-106.346771, 56.130366)"
Canada,Laos,1995,7,"(102.495496, 19.85627)","(-106.346771, 56.130366)"
Canada,Myanmar [Burma],1995,47,"(95.956223, 21.913965)","(-106.346771, 56.130366)"
Canada,Moldova,1995,2,"(28.369885, 47.411631)","(-106.346771, 56.130366)"
Canada,Russia,1995,16,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1995,367,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Syria,1995,47,"(38.996815, 34.802075)","(-106.346771, 56.130366)"
Canada,Macedonia [FYROM],1995,5,"(21.745275, 41.608635)","(-106.346771, 56.130366)"
Canada,United Kingdom,1995,9,"(-3.435973, 55.378051)","(-106.346771, 56.130366)"
Canada,Tanzania,1995,2,"(34.888822, -6.369028)","(-106.346771, 56.130366)"
Canada,United States,1995,6,"(-95.712891, 37.09024)","(-106.346771, 56.130366)"
Canada,Various/unknown,1995,66,,"(-106.346771, 56.130366)"
Canada,Vietnam,1995,240,"(108.277199, 14.058324)","(-106.346771, 56.130366)"
Denmark,Congo [DRC],1995,2,"(21.758664, -4.038333)","(9.501785, 56.26392)"
Denmark,Iran,1995,41,"(53.688046, 32.427908)","(9.501785, 56.26392)"
Denmark,Syria,1995,2,"(38.996815, 34.802075)","(9.501785, 56.26392)"
Denmark,Various/unknown,1995,34,,"(9.501785, 56.26392)"
Denmark,Vietnam,1995,52,"(108.277199, 14.058324)","(9.501785, 56.26392)"
Finland,Various/unknown,1995,642,,"(25.748151, 61.92411)"
Iceland,Various/unknown,1995,8,,"(-19.020835, 64.963051)"
Japan,Various/unknown,1995,85,,"(138.252924, 36.204824)"
Netherlands,Iran,1995,1,"(53.688046, 32.427908)","(5.291266, 52.132633)"
Netherlands,Syria,1995,1,"(38.996815, 34.802075)","(5.291266, 52.132633)"
New Zealand,Iran,1995,6,"(53.688046, 32.427908)","(174.885971, -40.900557)"
New Zealand,Vietnam,1995,341,"(108.277199, 14.058324)","(174.885971, -40.900557)"
Norway,Various/unknown,1995,330,,"(8.468946, 60.472024)"
Sweden,Iran,1995,183,"(53.688046, 32.427908)","(18.643501, 60.128161)"
Sweden,Serbia,1995,1,"(21.005859, 44.016521)","(18.643501, 60.128161)"
Sweden,Syria,1995,2,"(38.996815, 34.802075)","(18.643501, 60.128161)"
Sweden,Vietnam,1995,4,"(108.277199, 14.058324)","(18.643501, 60.128161)"
United Kingdom,Various/unknown,1995,70,,"(-3.435973, 55.378051)"
United States,Afghanistan,1995,4,"(67.709953, 33.93911)","(-95.712891, 37.09024)"
United States,Albania,1995,51,"(20.168331, 41.153332)","(-95.712891, 37.09024)"
United States,Angola,1995,1,"(17.873887, -11.202692)","(-95.712891, 37.09024)"
United States,Bosnia and Herzegovina,1995,9870,"(17.679076, 43.915886)","(-95.712891, 37.09024)"
United States,Bulgaria,1995,3,"(25.48583, 42.733883)","(-95.712891, 37.09024)"
United States,Burundi,1995,8,"(29.918886, -3.373056)","(-95.712891, 37.09024)"
United States,Cuba,1995,6133,"(-77.781167, 21.521757)","(-95.712891, 37.09024)"
United States,Congo [DRC],1995,85,"(21.758664, -4.038333)","(-95.712891, 37.09024)"
United States,Ethiopia,1995,239,"(40.489673, 9.145)","(-95.712891, 37.09024)"
United States,Haiti,1995,1485,"(-72.285215, 18.971187)","(-95.712891, 37.09024)"
United States,Iran,1995,978,"(53.688046, 32.427908)","(-95.712891, 37.09024)"
United States,Iraq,1995,3482,"(43.679291, 33.223191)","(-95.712891, 37.09024)"
United States,Laos,1995,3675,"(102.495496, 19.85627)","(-95.712891, 37.09024)"
United States,Liberia,1995,52,"(-9.429499, 6.428055)","(-95.712891, 37.09024)"
United States,Myanmar [Burma],1995,36,"(95.956223, 21.913965)","(-95.712891, 37.09024)"
United States,Poland,1995,39,"(19.145136, 51.919438)","(-95.712891, 37.09024)"
United States,Romania,1995,24,"(24.96676, 45.943161)","(-95.712891, 37.09024)"
United States,Russia,1995,35716,"(105.318756, 61.52401)","(-95.712891, 37.09024)"
United States,Rwanda,1995,88,"(29.873888, -1.940278)","(-95.712891, 37.09024)"
United States,Sierra Leone,1995,48,"(-11.779889, 8.460555)","(-95.712891, 37.09024)"
United States,Somalia,1995,2506,"(46.199616, 5.152149)","(-95.712891, 37.09024)"
United States,Sudan,1995,1705,"(30.217636, 12.862807)","(-95.712891, 37.09024)"
United States,Togo,1995,25,"(0.824782, 8.619543)","(-95.712891, 37.09024)"
United States,Uganda,1995,10,"(32.290275, 1.373333)","(-95.712891, 37.09024)"
United States,Various/unknown,1995,12,,"(-95.712891, 37.09024)"
United States,Vietnam,1995,33215,"(108.277199, 14.058324)","(-95.712891, 37.09024)"
Australia,Congo [DRC],1996,1,"(21.758664, -4.038333)","(133.775136, -25.274398)"
Australia,Iran,1996,317,"(53.688046, 32.427908)","(133.775136, -25.274398)"
Australia,Myanmar [Burma],1996,320,"(95.956223, 21.913965)","(133.775136, -25.274398)"
Australia,Russia,1996,433,"(105.318756, 61.52401)","(133.775136, -25.274398)"
Australia,Serbia,1996,3185,"(21.005859, 44.016521)","(133.775136, -25.274398)"
Australia,Stateless,1996,1,,"(133.775136, -25.274398)"
Australia,Syria,1996,8,"(38.996815, 34.802075)","(133.775136, -25.274398)"
Australia,Macedonia [FYROM],1996,2,"(21.745275, 41.608635)","(133.775136, -25.274398)"
Australia,Vietnam,1996,845,"(108.277199, 14.058324)","(133.775136, -25.274398)"
Canada,Central African Rep.,1996,2,,"(-106.346771, 56.130366)"
Canada,Hong Kong,1996,6,"(114.109497, 22.396428)","(-106.346771, 56.130366)"
Canada,Congo [DRC],1996,152,"(21.758664, -4.038333)","(-106.346771, 56.130366)"
Canada,Iran,1996,363,"(53.688046, 32.427908)","(-106.346771, 56.130366)"
Canada,Laos,1996,5,"(102.495496, 19.85627)","(-106.346771, 56.130366)"
Canada,Myanmar [Burma],1996,87,"(95.956223, 21.913965)","(-106.346771, 56.130366)"
Canada,Russia,1996,22,"(105.318756, 61.52401)","(-106.346771, 56.130366)"
Canada,Serbia,1996,336,"(21.005859, 44.016521)","(-106.346771, 56.130366)"
Canada,Syria,1996,43,"(38.996815, 34.802075)","(-106.346771, 56.130366)"
Canada,Macedonia [FYROM],1996,4,"(21.745275, 41.608635)","(-106.346771, 56.130366)"
Canada,United Kingdom,1996,10,"(-3.435973, 55.378051)","(-106.346771, 56.130366)"
Canada,Tanzania,1996,1,"(34.888822, -6.369028)","(-106.346771, 56.130366)"
Canada,United States,1996,2,"(-95.712891, 37.09024)","(-106.346771, 56.130366)"
Canada,Various/unknown,1996,78,,"(-106.346771, 56.130366)"
